YEAR,MONTH,MENU_ITEM_ID,AVG_REVENUE_WO_ITEM,AVG_COST_WO_ITEM,AVG_PROFIT_WO_ITEM,PREV_AVG_REVENUE_WO_ITEM,PREV_AVG_COST_WO_ITEM,PREV_AVG_PROFIT_WO_ITEM
2016,1,143,11.5960127284,3.324271866130,8.271740862272,,,
2016,2,143,11.5611279340,3.307385725312,8.253742208712,11.5960127284,3.324271866130,8.271740862272
2016,3,143,11.4316589249,3.272037428357,8.159621496535,11.5611279340,3.307385725312,8.253742208712
2016,4,143,11.6315229669,3.331925974071,8.299596992871,11.4316589249,3.272037428357,8.159621496535
2016,5,143,11.2720763398,3.225151854482,8.046924485366,11.6315229669,3.331925974071,8.299596992871
2016,6,143,11.5738286559,3.313849088977,8.259979566918,11.2720763398,3.225151854482,8.046924485366
2016,7,143,11.4293982735,3.273170341394,8.156227932150,11.5738286559,3.313849088977,8.259979566918
2016,8,143,11.5842989249,3.321834384590,8.262464540272,11.4293982735,3.273170341394,8.156227932150
2016,9,143,11.3891147114,3.259455062304,8.129659649048,11.5842989249,3.321834384590,8.262464540272
2016,10,143,11.2920336308,3.234582223109,8.057451407703,11.3891147114,3.259455062304,8.129659649048
2016,11,143,11.5827128215,3.319094199658,8.263618621885,11.2920336308,3.234582223109,8.057451407703
2016,12,143,11.4715357644,3.281058310375,8.190477454001,11.5827128215,3.319094199658,8.263618621885
2017,1,143,12.7026769783,3.689119972166,9.013557006090,11.4715357644,3.281058310375,8.190477454001
2017,2,143,12.4627491677,3.620135858172,8.842613309535,12.7026769783,3.689119972166,9.013557006090
2017,3,143,12.5695684836,3.651205650661,8.918362832890,12.4627491677,3.620135858172,8.842613309535
2017,4,143,12.1586888962,3.530326190387,8.628362705792,12.5695684836,3.651205650661,8.918362832890
2017,5,143,12.4808483076,3.623536296249,8.857312011378,12.1586888962,3.530326190387,8.628362705792
2017,6,143,12.6540813066,3.678249757517,8.975831549070,12.4808483076,3.623536296249,8.857312011378
2017,7,143,12.7249190758,3.697710215423,9.027208860349,12.6540813066,3.678249757517,8.975831549070
2017,8,143,12.4101222944,3.602264807707,8.807857486665,12.7249190758,3.697710215423,9.027208860349
2017,9,143,12.6074753693,3.663695911820,8.943779457441,12.4101222944,3.602264807707,8.807857486665
